commit,dataset,regime,arm,repetition,tree_height,index_nodes,leaf_nodes,total_nodes,objects,mean_leaf_entries,min_leaf_entries,max_leaf_entries,mean_leaf_fill,mean_leaf_radius,min_leaf_radius,max_leaf_radius,sibling_pairs,overlapping_pairs,overlap_ratio,mean_abs_overlap,fat_factor,relative_fat_factor
5ede674,brcities5507,disperso,original,4,4,27,366,393,5507,15.0464,2,25,0.631532,3.71442,0.170294,16.5593,2823,970,0.343606,2.71172,0.14804,0.33586
5ede674,brcities5507,disperso,slimdown,4,4,27,351,378,5507,15.6895,1,25,0.65827,3.4761,0,16.5593,2607,805,0.308784,2.65754,0.139365,0.304503
5ede674,brcities5507,disperso,etapa1,4,4,27,366,393,5507,15.0464,2,25,0.631532,3.63587,0.170294,16.5593,2823,940,0.332979,2.67006,0.145327,0.329812
5ede674,brcities5507,disperso,etapa2,4,4,47,441,488,5507,12.4875,2,25,0.525125,0.826289,0.10198,10.079,2776,998,0.35951,0.485203,0.0159695,0.0500765
5ede674,brcities5507,disperso,etapa2_data,4,4,37,429,466,5507,12.8368,2,25,0.53965,1.13488,0.0223607,18.9317,3098,998,0.322143,0.802566,0.0277726,0.0793288
5ede674,brcities5507,disperso,original,4,4,27,366,393,5507,15.0464,2,25,0.631532,3.71442,0.170294,16.5593,2823,970,0.343606,2.71172,0.14804,0.33586
5ede674,brcities5507,disperso,slimdown,4,4,27,351,378,5507,15.6895,1,25,0.65827,3.4761,0,16.5593,2607,805,0.308784,2.65754,0.139365,0.304503
5ede674,brcities5507,disperso,etapa1,4,4,27,366,393,5507,15.0464,2,25,0.631532,3.65261,0.170294,16.5593,2823,951,0.336876,2.68153,0.146057,0.33144
5ede674,brcities5507,disperso,etapa2,4,4,47,441,488,5507,12.4875,2,25,0.525125,0.826289,0.10198,10.079,2776,998,0.35951,0.485203,0.0159695,0.0500765
5ede674,brcities5507,disperso,etapa2_data,4,4,37,429,466,5507,12.8368,2,25,0.53965,1.13488,0.0223607,18.9317,3098,998,0.322143,0.802566,0.0277726,0.0793288
5ede674,brcities5507,uniforme,original,4,4,27,366,393,5507,15.0464,2,25,0.631532,3.71442,0.170294,16.5593,2823,970,0.343606,2.71172,0.14804,0.33586
5ede674,brcities5507,uniforme,slimdown,4,4,27,351,378,5507,15.6895,1,25,0.65827,3.4761,0,16.5593,2607,805,0.308784,2.65754,0.139365,0.304503
