commit,dataset,regime,centres,arm,query_type,k,radius,repetition,query_count,construction_time_ms,adapt_time_ms,total_query_time_ms,mean_query_time_ms,median_query_time_ms,p95_query_time_ms,std_query_time_ms,mean_distances,mean_index_distances,mean_leaf_distances,mean_reads,mean_writes,mean_nodes_entered,mean_leaves_entered,mean_subtrees_pruned,mean_tau_updates,mean_queue_pops,mean_queue_pops_discarded,mean_result_size,adapt_distances,adapt_reads,adapt_writes,objects_relocated,reverse_relocations,radius_shrink_total,tree_height,node_count,num_objects,index_size_bytes,correct_results,page_size,seed
5ede674,brcities5507,concentrado,2,etapa1,range,10,0.5,1,100,80.5421,18.3639,11.1855,0.111855,0.11455,0.126315,0.0102385,281.14,149.95,131.19,63.91,0,63.91,38.91,310.09,0,0,0,12.77,23120,7856,754,1073,770,16.2021,4,393,5507,403456,1,1024,42
5ede674,brcities5507,concentrado,2,etapa2,range,10,0.5,1,100,81.7168,102.282,3.3157,0.033157,0.0336,0.0378,0.00432776,88.12,43.59,44.53,18,0,18,6.22,139.56,0,0,0,12.77,0,0,0,0,0,0,4,482,5507,494592,1,1024,42
5ede674,brcities5507,concentrado,2,etapa2_data,range,10,0.5,1,100,82.2156,89.7951,3.0271,0.030271,0.02995,0.03609,0.00315176,97.28,50.1,47.18,16.22,0,16.22,7.01,99.36,0,0,0,12.77,0,0,0,0,0,0,4,465,5507,1.84467e+19,1,1024,42
5ede674,brcities5507,uniforme,0,original,knn,10,0.5,2,100,80.6608,0,14.2315,0.142315,0.14145,0.18223,0.0260631,406.53,180.32,226.21,73.55,0,73.55,48.85,276.9,36.51,86.85,14.3,10,0,0,0,0,0,0,4,393,5507,403456,1,1024,42
5ede674,brcities5507,uniforme,0,slimdown,knn,10,0.5,2,100,81.4868,2.8725,13.2718,0.132718,0.13025,0.172575,0.0240578,391.22,168.49,222.73,67.8,0,67.8,43.15,267.39,33.17,81.2,14.4,10,0,0,0,0,0,0,4,378,5507,403456,1,1024,42
5ede674,brcities5507,uniforme,0,etapa1,knn,10,0.5,2,100,95.3272,25.1473,14.7795,0.147795,0.14555,0.19443,0.0287866,394.05,177.04,217.01,71.1,0,71.1,46.4,278.86,35.14,84.89,14.79,10,24674,7091,1414,1505,463,54.4131,4,393,5507,403456,1,1024,42
5ede674,brcities5507,uniforme,0,etapa2,knn,10,0.5,2,100,89.7904,102.497,5.7689,0.057689,0.0573,0.076365,0.0126689,157.99,81.36,76.63,25.85,0,25.85,11.23,139.36,25.75,42.49,17.64,10,0,0,0,0,0,0,4,475,5507,487424,1,1024,42
5ede674,brcities5507,uniforme,0,etapa2_data,knn,10,0.5,2,100,91.373,100.128,4.7331,0.047331,0.04675,0.06612,0.00937699,135.52,66.83,68.69,21.4,0,21.4,9.28,116.46,21.75,38.3,17.9,10,0,0,0,0,0,0,4,465,5507,1.84467e+19,1,1024,42
5ede674,brcities5507,uniforme,0,original,range,10,0.5,2,100,85.3324,0,13.8233,0.138233,0.13815,0.181825,0.0314189,356.36,165.88,190.48,72.14,0,72.14,47.37,293.65,0,0,0,21.72,0,0,0,0,0,0,4,393,5507,403456,1,1024,42
5ede674,brcities5507,uniforme,0,slimdown,range,10,0.5,2,100,90.5342,2.6553,13.1563,0.131563,0.13015,0.184475,0.0343553,342.03,153.41,188.62,66.38,0,66.38,41.68,283.9,0,0,0,21.72,0,0,0,0,0,0,4,378,5507,403456,1,1024,42
5ede674,brcities5507,uniforme,0,etapa1,range,10,0.5,2,100,81.7979,19.2756,12.471,0.12471,0.1245,0.17182,0.0256741,345.96,161.86,184.1,69.52,0,69.52,44.75,296.27,0,0,0,21.72,24765,6896,1419,1495,482,58.7622,4,393,5507,403456,1,1024,42
5ede674,brcities5507,uniforme,0,etapa2,range,10,0.5,2,100,86.8507,99.8058,4.8865,0.048865,0.0522,0.066185,0.0119777,134.98,69.09,65.89,24.69,0,24.69,10.39,155.21,0,0,0,21.72,0,0,0,0,0,0,4,475,5507,487424,1,1024,42
5ede674,brcities5507,uniforme,0,etapa2_data,range,10,0.5,2,100,90.5466,95.2908,4.34,0.0434,0.044,0.05824,0.0105288,124.27,57.92,66.35,21.32,0,21.32,9.31,132.65,0,0,0,21.72,0,0,0,0,0,0,4,465,5507,1.84467e+19,1,1024,42
5ede674,brcities5507,concentrado,2,original,knn,10,0.5,2,100,86.6105,0,12.7145,0.127145,0.12585,0.14252,0.00954002,370.12,168.66,201.46,68.22,0,68.22,43.22,290.18,41.38,82.82,15.6,10,0,0,0,0,0,0,4,393,5507,403456,1,1024,42
5ede674,brcities5507,concentrado,2,slimdown,knn,10,0.5,2,100,93.561,3.204,13.2798,0.132798,0.12575,0.208925,0.0256386,358.94,160.95,197.99,63.45,0,63.45,38.45,279.59,37.35,78.41,15.96,10,0,0,0,0,0,0,4,378,5507,403456,1,1024,42
5ede674,brcities5507,concentrado,2,etapa1,knn,10,0.5,2,100,88.3142,20.1769,13.0399,0.130399,0.12835,0.14732,0.0106712,369.98,167.56,202.42,66.27,0,66.27,41.27,292.03,41.18,80.97,15.7,10,24846,8398,774,1083,812,16.2229,4,393,5507,403456,1,1024,42
5ede674,brcities5507,concentrado,2,etapa2,knn,10,0.5,2,100,96.081,102.12,4.2492,0.042492,0.04195,0.055465,0.00789853,125.09,60.26,64.83,19.8,0,19.8,7.79,118.2,22.28,41.81,23.01,10,0,0,0,0,0,0,4,482,5507,494592,1,1024,42
5ede674,brcities5507,concentrado,2,etapa2_data,knn,10,0.5,2,100,86.9413,95.0915,4.643,0.04643,0.0474,0.056575,0.00735019,153.1,70.51,82.59,20.67,0,20.67,10.42,89.41,33.58,38.94,19.27,10,0,0,0,0,0,0,4,465,5507,1.84467e+19,1,1024,42
5ede674,brcities5507,concentrado,2,original,range,10,0.5,2,100,85.3123,0,11.3625,0.113625,0.11315,0.13108,0.00997956,279.79,151.05,128.74,66.01,0,66.01,41.01,307.99,0,0,0,12.77,0,0,0,0,0,0,4,393,5507,403456,1,1024,42
5ede674,brcities5507,concentrado,2,slimdown,range,10,0.5,2,100,87.1682,2.6434,11.2776,0.112776,0.11215,0.125915,0.00818759,269.26,141.35,127.91,60.96,0,60.96,35.96,298.04,0,0,0,12.77,0,0,0,0,0,0,4,378,5507,403456,1,1024,42
5ede674,brcities5507,concentrado,2,etapa1,range,10,0.5,2,100,80.954,17.9272,11.063,0.11063,0.11085,0.126925,0.00950471,281.14,149.95,131.19,63.91,0,63.91,38.91,310.09,0,0,0,12.77,23120,7856,754,1073,770,16.2021,4,393,5507,403456,1,1024,42
5ede674,brcities5507,concentrado,2,etapa2,range,10,0.5,2,100,83.5947,98.2875,3.4567,0.034567,0.035,0.04,0.00392683,88.12,43.59,44.53,18,0,18,6.22,139.56,0,0,0,12.77,0,0,0,0,0,0,4,482,5507,494592,1,1024,42
5ede674,brcities5507,concentrado,2,etapa2_data,range,10,0.5,2,100,86.8816,91.8334,3.0682,0.030682,0.03045,0.035605,0.00311978,97.28,50.1,47.18,16.22,0,16.22,7.01,99.36,0,0,0,12.77,0,0,0,0,0,0,4,465,5507,1.84467e+19,1,1024,42
5ede674,brcities5507,disperso,8,original,knn,10,0.5,2,100,80.4742,0,8.9759,0.089759,0.08845,0.13814,0.0285582,274.84,126.73,148.11,46.31,0,46.31,25,252.65,29.65,60.25,14.94,10,0,0,0,0,0,0,4,393,5507,403456,1,1024,42
